class_name	slot_group	slot_uri	title	name	range	range_2	identifier	multivalued	required	recommended	minimum_value	maximum_value	pattern	structured_pattern	description	comments	examples	EXPORT_SOMEWHERE
study	Study Identifiers		study_id	study_id	WhitespaceMinimizedString		TRUE		TRUE	TRUE						The unique identifier for the study.	Example: "S1234"	
	Study Information		study_title	study_title	WhitespaceMinimizedString				TRUE	TRUE						Brief description of the study.	Example: "Marine Sequencing"	
	Study Information		study_description	study_description	WhitespaceMinimizedString				TRUE	TRUE						A detailed description of the study.	Example: "This study focuses on the sequencing of the Marine samples."	
	Study Identifiers		center_name	center_name	WhitespaceMinimizedString				TRUE	TRUE						Name of the submitting institution or organization.	Example: "XYZ University"	
	Study Dates		first_created	first_created	date				TRUE	TRUE						The date when the study was created.	Example: "2023-01-01"	
	Study Contacts		author_name	author_name	WhitespaceMinimizedString				FALSE	TRUE						Name of the study contact person.	Example: "Dr. John Doe"	
	Study Contacts		author_email	author_email	string				FALSE	TRUE			^\S+@\S+\.\S+$			Email of the study contact person.	Example: "jdoe@example.com"	
	Study Identifiers		study_alias	study_alias	WhitespaceMinimizedString				FALSE	TRUE						Submitter's unique identifier for the study.	Example: "XYZ123"	
	Study Broker		broker_name	broker_name	WhitespaceMinimizedString				FALSE	TRUE						Broker acting on behalf of the study.	Example: "XYZ Broker"	
	Study Status		status	status	StatusMenu				FALSE	TRUE							"Study status (e.g., public or private)."	Example: "public"
	Study Identifiers		biome_identifier	biome_identifier	WhitespaceMinimizedString				FALSE	TRUE						Identifier from an ontology.	Example: "ENVO:001"	
	Study Samples		samples_count	samples_count	integer				FALSE	TRUE						Number of samples in the study.	Example: "250"	
	Study Dates		last_update	last_update	datetime				FALSE	TRUE						Last update date of the study.	Example: "2023-12-01T14:30:00"	
	Study Dates		public_release_date	public_release_date	date				FALSE	TRUE						Intended public release date.	Example: "2023-06-01"	
	Study References		related_publications	related_publications	url				FALSE	TRUE						Link to related publications.	Example: "http://pubmed.ncbi.nlm.nih.gov/1234567"	
	Study References		related_geocoordinates	related_geocoordinates	WhitespaceMinimizedString				FALSE	TRUE						Link to geocoordinate data.	Example: "http://example.com/geocoordinate"	
	Study References		related_studies	related_studies	WhitespaceMinimizedString				FALSE	TRUE						Link to related studies.	Example: "http://relatedstudy.com"	
